CustomerID,Churn Value,Demographic Category,Demographic Value
7296-PIXQY,0,Gender,Female
3981-QSVQI,0,Gender,Male
0458-HEUZG,0,Gender,Female
5550-VFRLC,1,Gender,Female
0929-HYQEW,0,Gender,Male
2995-UPRYS,1,Gender,Female
5129-HHMZC,0,Gender,Female
2748-MYRVK,1,Gender,Female
6229-UOLQL,0,Gender,Male
8062-YBDOE,1,Gender,Male
9481-WHGWY,0,Gender,Female
5160-UXJED,0,Gender,Male
4922-CVPDX,0,Gender,Female
5148-ORICT,0,Gender,Female
0742-NXBGR,1,Gender,Female
5995-SNNEW,0,Gender,Male
4999-IEZLT,0,Gender,Male
3446-QDSZF,0,Gender,Female
2257-BOVXD,0,Gender,Male
4446-BZKHU,1,Gender,Male
6522-YRBXD,0,Gender,Male
8049-WJCLQ,0,Gender,Male
7989-VCQOH,0,Gender,Male
6579-JPICP,0,Gender,Male
3627-FHKBK,1,Gender,Female
5519-YLDGW,1,Gender,Female
6114-TCFID,0,Gender,Female
5277-ZLOOR,1,Gender,Female
6518-PPLMZ,0,Gender,Male
7785-RDVIG,0,Gender,Female
1171-TYKUR,0,Gender,Male
2575-GFSOE,1,Gender,Female
4827-LTQRJ,0,Gender,Female
7893-IXHRQ,1,Gender,Male
7096-ZNBZI,0,Gender,Female
5052-PNLOS,1,Gender,Male
0906-QVPMS,0,Gender,Male
2662-NNTDK,0,Gender,Male
8838-GPHZP,0,Gender,Female
2725-IWWBA,0,Gender,Male
3597-MVHJT,0,Gender,Female
6461-SZMCV,0,Gender,Female
9168-INPSZ,0,Gender,Female
4945-RVMTE,0,Gender,Female
2619-WFQWU,1,Gender,Female
7568-PODML,1,Gender,Male
4566-QVRRW,1,Gender,Female
4088-YLDSU,1,Gender,Male
3709-OIJEA,0,Gender,Male
4807-IZYOZ,0,Gender,Female
2030-BTZRO,0,Gender,Male
5606-AMZBO,0,Gender,Female
0315-LVCRK,0,Gender,Male
3662-FXJFO,0,Gender,Female
8620-RJPZN,0,Gender,Female
0637-YLETY,1,Gender,Female
0106-GHRQR,0,Gender,Male
1628-BIZYP,0,Gender,Male
2746-DIJLO,0,Gender,Female
3374-TTZTK,0,Gender,Male
8249-THVEC,0,Gender,Male
0581-BXBUB,0,Gender,Female
9445-ZUEQE,0,Gender,Male
6242-SGYTS,0,Gender,Male
9621-OUPYD,0,Gender,Female
9327-QSDED,0,Gender,Male
8547-NSBBO,0,Gender,Male
5561-NWEVX,1,Gender,Female
7047-YXDMZ,0,Gender,Male
9828-AOQLM,1,Gender,Female
1575-KRZZE,0,Gender,Female
4080-OGPJL,1,Gender,Female
8226-BXGES,0,Gender,Male
1173-NOEYG,0,Gender,Female
2194-IIQOF,0,Gender,Female
2599-CZABP,0,Gender,Male
1699-TLDLZ,0,Gender,Female
2160-GPFXD,0,Gender,Male
0374-AACSZ,0,Gender,Female
5214-NLTIT,0,Gender,Male
8120-JDCAM,0,Gender,Male
1518-OMDIK,0,Gender,Male
0269-XFESX,0,Gender,Male
5568-DMXZS,0,Gender,Female
8821-KVZKQ,0,Gender,Female
9101-NTIXF,0,Gender,Male
3714-JTVOV,1,Gender,Female
4367-NHWMM,0,Gender,Female
1371-WEPDS,0,Gender,Male
7321-VGNKU,0,Gender,Female
4648-YPBTM,0,Gender,Male
6509-TSGWN,0,Gender,Female
3229-USWAR,0,Gender,Female
4307-KTUMW,1,Gender,Male
3441-CGZJH,0,Gender,Female
7267-FRMJW,0,Gender,Female
6817-WTYHE,0,Gender,Male
0481-SUMCB,0,Gender,Female
3503-TYDAY,0,Gender,Female
2157-MXBJS,1,Gender,Male
2809-ZMYOQ,0,Gender,Female
5480-HPRRX,1,Gender,Female
7854-FOKSF,1,Gender,Male
8224-DWCKX,0,Gender,Male
0727-BNRLG,0,Gender,Male
3082-YVEKW,0,Gender,Female
2096-XOTMO,0,Gender,Female
8873-GLDMH,0,Gender,Female
5692-ICXLW,0,Gender,Male
4441-NIHPT,1,Gender,Female
5840-NVDCG,0,Gender,Female
6625-IUTTT,0,Gender,Male
4256-ZWTZI,0,Gender,Female
8627-EHGIP,1,Gender,Male
6481-LXPWL,0,Gender,Male
3671-SHRSP,1,Gender,Male
4163-KIUHY,0,Gender,Male
5076-YVXCM,0,Gender,Male
7134-MJPDY,0,Gender,Female
9143-CANJF,0,Gender,Female
7890-VYYWG,1,Gender,Male
8378-LKJAF,0,Gender,Male
5688-KZTSN,1,Gender,Male
7820-ZYGNY,0,Gender,Male
3956-MGXOG,0,Gender,Female
9903-LYSAB,0,Gender,Male
6035-BXTTY,0,Gender,Female
0596-BQCEQ,1,Gender,Female
1060-ENTOF,0,Gender,Female
3199-XGZCY,0,Gender,Female
2230-XTUWL,0,Gender,Female
6857-TKDJV,0,Gender,Male
2207-QPJED,0,Gender,Female
6994-ORCWG,0,Gender,Female
2680-XKKNJ,0,Gender,Female
0582-AVCLN,0,Gender,Female
9250-WYPLL,1,Gender,Female
0406-BPDVR,1,Gender,Female
3389-YGYAI,1,Gender,Female
7164-BPTUT,0,Gender,Male
1212-GLHMD,0,Gender,Male
6654-QGBZZ,0,Gender,Female
8755-OGKNA,0,Gender,Female
7321-ZNSLA,0,Gender,Male
8404-VLQFB,0,Gender,Female
8380-MQINP,0,Gender,Female
8345-MVDYC,0,Gender,Female
9793-WECQC,0,Gender,Male
0440-QEXBZ,0,Gender,Female
1614-JBEBI,0,Gender,Female
1956-YIFGE,0,Gender,Male
3807-BPOMJ,0,Gender,Female
9136-ALYBR,1,Gender,Male
9069-LGEUL,0,Gender,Male
5035-PGZXH,0,Gender,Female
5847-MXBEO,0,Gender,Male
3669-WHAFY,0,Gender,Female
1728-BQDMA,0,Gender,Female
2320-JRSDE,1,Gender,Female
4915-BFSXL,0,Gender,Male
1875-QIVME,1,Gender,Female
2073-QBVBI,0,Gender,Female
4686-UXDML,0,Gender,Female
6103-LIANB,0,Gender,Male
0784-GTUUK,0,Gender,Male
7459-RRWQZ,1,Gender,Female
7629-WFGLW,0,Gender,Female
8133-ANHHJ,0,Gender,Female
1087-GRUYI,0,Gender,Male
4510-HIMLV,1,Gender,Male
7696-CFTAT,0,Gender,Male
7649-PHJVR,0,Gender,Male
3254-YRILK,1,Gender,Male
9480-BQJEI,0,Gender,Male
5245-VDBUR,0,Gender,Female
6435-SRWBJ,0,Gender,Female
