CustomerID,Churn Value,Product Category,Product Value
7296-PIXQY,0,Device Protection,No
3981-QSVQI,0,Device Protection,No internet service
0458-HEUZG,0,Device Protection,Yes
5550-VFRLC,1,Device Protection,No
0929-HYQEW,0,Device Protection,No
2995-UPRYS,1,Device Protection,No
5129-HHMZC,0,Device Protection,No
2748-MYRVK,1,Device Protection,No
6229-UOLQL,0,Device Protection,No
8062-YBDOE,1,Device Protection,No
9481-WHGWY,0,Device Protection,No
5160-UXJED,0,Device Protection,No
4922-CVPDX,0,Device Protection,Yes
5148-ORICT,0,Device Protection,Yes
0742-NXBGR,1,Device Protection,Yes
5995-SNNEW,0,Device Protection,Yes
4999-IEZLT,0,Device Protection,No
3446-QDSZF,0,Device Protection,No
2257-BOVXD,0,Device Protection,No
4446-BZKHU,1,Device Protection,Yes
6522-YRBXD,0,Device Protection,No
8049-WJCLQ,0,Device Protection,Yes
7989-VCQOH,0,Device Protection,Yes
6579-JPICP,0,Device Protection,No internet service
3627-FHKBK,1,Device Protection,No
5519-YLDGW,1,Device Protection,Yes
6114-TCFID,0,Device Protection,No
5277-ZLOOR,1,Device Protection,No
6518-PPLMZ,0,Device Protection,No internet service
7785-RDVIG,0,Device Protection,No internet service
1171-TYKUR,0,Device Protection,No internet service
2575-GFSOE,1,Device Protection,No
4827-LTQRJ,0,Device Protection,No
7893-IXHRQ,1,Device Protection,No internet service
7096-ZNBZI,0,Device Protection,No internet service
5052-PNLOS,1,Device Protection,Yes
0906-QVPMS,0,Device Protection,Yes
2662-NNTDK,0,Device Protection,No internet service
8838-GPHZP,0,Device Protection,No internet service
2725-IWWBA,0,Device Protection,Yes
3597-MVHJT,0,Device Protection,No
6461-SZMCV,0,Device Protection,Yes
9168-INPSZ,0,Device Protection,Yes
4945-RVMTE,0,Device Protection,Yes
2619-WFQWU,1,Device Protection,No
7568-PODML,1,Device Protection,No
4566-QVRRW,1,Device Protection,No
4088-YLDSU,1,Device Protection,Yes
3709-OIJEA,0,Device Protection,Yes
4807-IZYOZ,0,Device Protection,No internet service
2030-BTZRO,0,Device Protection,No internet service
5606-AMZBO,0,Device Protection,No
0315-LVCRK,0,Device Protection,Yes
3662-FXJFO,0,Device Protection,No internet service
8620-RJPZN,0,Device Protection,No internet service
0637-YLETY,1,Device Protection,Yes
0106-GHRQR,0,Device Protection,Yes
1628-BIZYP,0,Device Protection,No
